organizzazione_id,partita_iva,ragione_sociale,categoria_soggetto,settore,sottosettore,sezione,progressivo,codice_elemento,descrizione_elemento,dettaglio,criticita,riferimento,paese,email_contatto,data_estrazione
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),1-ANAGRAFICA,1,04738160870,Zagara Neuro Therapeutics S.p.A.,"Sede legale: Viale delle Zagare 18, 95121 Catania (CT); tel. +39 095 000 0100; e-mail: nis@zagara-neuro.example; dimensione: Grande impresa; dipendenti: 412; allegato I",,,IT,amministrazione@pec.zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,1,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 28/04/2022; tel. +39 095 000 0107,,Marco Distefano,IT,m.distefano@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,2,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 01/06/2019; tel. +39 095 000 0101,,Giuseppe Lo Cascio,IT,g.locascio@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,3,PUNTO_CONTATTO,Punto di contatto NIS,Incarico dal 01/10/2025; tel. +39 095 000 0102,,Carmela Vitale,IT,c.vitale@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,4,RAPPRESENTANTE_LEGALE,Rappresentante legale,Incarico dal 01/06/2019; tel. +39 095 000 0101,,Giuseppe Lo Cascio,IT,g.locascio@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,5,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 15/11/2025; tel. +39 095 000 0104,,Rosaria Grasso,IT,r.grasso@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,6,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 15/11/2025; tel. +39 095 000 0105,,Antonino Scuderi,IT,a.scuderi@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),2-PUNTI_DI_CONTATTO,7,SOSTITUTO_PUNTO_CONTATTO,Sostituto del punto di contatto,Incarico dal 20/01/2025; tel. +39 095 000 0103,,Salvatore Russo,IT,s.russo@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),3-SPAZIO_IP,1,192.0.2.0/26,"Servizi esposti (portale, posta elettronica)","IPv4, indirizzi: 64",,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),3-SPAZIO_IP,2,192.0.2.64/27,Accesso remoto VPN dei fornitori,"IPv4, indirizzi: 32",,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),4-DOMINI,1,farmacovigilanza-zagara.example,Portale per le segnalazioni di farmacovigilanza,,,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),4-DOMINI,2,zagara-neuro.example,Sito istituzionale e posta elettronica,,,,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),5-SERVIZI,1,ZNT-SRV-DIST,Distribuzione e tracciabilità dei medicinali,Utenti impattati: 1200; Stati: IT; asset collegati: 3,CRITICA,Marco Distefano,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),5-SERVIZI,2,ZNT-SRV-PROD,Produzione di farmaci per terapie neurologiche,"Utenti impattati: 180000; Stati: DE, IT; asset collegati: 5",CRITICA,Marco Distefano,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),5-SERVIZI,3,ZNT-SRV-FV,Farmacovigilanza,"Utenti impattati: 180000; Stati: DE, IT; asset collegati: 3",ALTA,Carmela Vitale,,,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,1,ZNT-AD-01,Active Directory e MFA,Tipo: Servizio di identità; classificazione: Riservato; RTO: 60 min; RPO: 15 min; ubicazione: Sede legale Catania - Catania,CRITICA,Antonino Scuderi,,a.scuderi@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,2,ZNT-DBFV-01,Database di farmacovigilanza,Tipo: Base di dati; classificazione: Strettamente riservato; RTO: 240 min; RPO: 15 min; ubicazione: Polo R&S Catania - Catania,CRITICA,Carmela Vitale,,c.vitale@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,3,ZNT-MES-01,MES di stabilimento,Tipo: Applicazione software; classificazione: Riservato; RTO: 240 min; RPO: 15 min; ubicazione: Stabilimento di Paternò - Paternò,CRITICA,Marco Distefano,,m.distefano@zagara-neuro.example,2026-09-19
1,04738160870,Zagara Neuro Therapeutics S.p.A.,Soggetto essenziale,Settore sanitario,Settore sanitario (senza sottosettori),6-ASSET_CRITICI,4,ZNT-OT-01,Rete OT e PLC di confezionamento,Tipo: Sistema OT/ICS; classificazione: Uso interno; RTO: 240 min; RPO: 0 min; ubicazione: Stabilimento di Paternò - Paternò,CRITICA,Marco Distefano,,m.distefano@zagara-neuro.example,2026-09-19
