organizzazione_id,partita_iva,ragione_sociale,categoria_soggetto,settore,sottosettore,sezione,progressivo,codice_elemento,descrizione_elemento,dettaglio,criticita,riferimento,paese,email_contatto,data_estrazione
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),1-ANAGRAFICA,1,03591720838,TecPot Digital Services S.r.l.,"Sede legale: Via del Faro 9, 98122 Messina (ME); tel. +39 090 000 0300; e-mail: nis@tecpot-digital.example; dimensione: Media impresa; dipendenti: 138; allegato I",,,IT,amministrazione@pec.tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,1,MEMBRO_ORGANO_AMM,Membro dell'organo di amministrazione,Incarico dal 01/03/2015; tel. +39 090 000 0301,,Andrea Crisafulli,IT,a.crisafulli@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,2,PUNTO_CONTATTO,Punto di contatto NIS,Incarico dal 03/02/2025; tel. +39 090 000 0302,,Federica Saija,IT,f.saija@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,3,RAPPRESENTANTE_LEGALE,Rappresentante legale,Incarico dal 01/03/2015; tel. +39 090 000 0301,,Andrea Crisafulli,IT,a.crisafulli@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,4,REFERENTE_CSIRT,Referente CSIRT,Incarico dal 10/11/2025; tel. +39 0931 000 304,,Paola Cucinotta,IT,p.cucinotta@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),2-PUNTI_DI_CONTATTO,5,SOSTITUTO_PUNTO_CONTATTO,Sostituto del punto di contatto,Incarico dal 03/02/2025; tel. +39 090 000 0303,,Luca Mento,IT,l.mento@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),3-SPAZIO_IP,1,203.0.113.0/24,Data center e SOC,"IPv4, indirizzi: 256",,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),3-SPAZIO_IP,2,2001:db8:9e1::/48,Servizi gestiti IPv6,"IPv6, prefisso /48",,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),4-DOMINI,1,tecpot-digital.example,Sito istituzionale e posta elettronica,,,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),4-DOMINI,2,tecpot-soc.example,Portale clienti del SOC,,,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),5-SERVIZI,1,TDS-SRV-MSP,Servizi gestiti di infrastruttura IT (MSP),"Utenti impattati: 140; Stati: IT, MT; asset collegati: 4",CRITICA,Giorgio Previti,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),5-SERVIZI,2,TDS-SRV-SOC,SOC gestito H24 (servizi di sicurezza gestiti),Utenti impattati: 60; Stati: IT; asset collegati: 4,CRITICA,Paola Cucinotta,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,1,TDS-AD-01,Active Directory e PAM,Tipo: Servizio di identità; classificazione: Strettamente riservato; RTO: 60 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,2,TDS-RMM-01,Piattaforma RMM di gestione remota,Tipo: Applicazione software; classificazione: Riservato; RTO: 120 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,3,TDS-SIEM-01,Piattaforma SIEM/SOAR del SOC,Tipo: Applicazione software; classificazione: Strettamente riservato; RTO: 60 min; RPO: 15 min; ubicazione: SOC Siracusa - Siracusa,CRITICA,Paola Cucinotta,,p.cucinotta@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,4,TDS-VIRT-01,Cluster di virtualizzazione,Tipo: Hardware; classificazione: Riservato; RTO: 120 min; RPO: 15 min; ubicazione: Data center Messina - Messina,CRITICA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),6-ASSET_CRITICI,5,TDS-TKT-01,Sistema di ticketing,Tipo: Servizio applicativo cloud; classificazione: Uso interno; RTO: 240 min; RPO: 60 min; ubicazione: Cloud/infrastruttura di terzi,ALTA,Giorgio Previti,,g.previti@tecpot-digital.example,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),7-FORNITORI_RILEVANTI,1,C-TDS-2023-001,Nuvola Mediterranea Cloud S.p.A.,Oggetto: asset TDS-VIRT-01; fornitura: Housing e servizi di data center; criterio: TIC; CPV: 72300000-8; clausole sicurezza: sì; DPA: sì; dati trattati in: IT,CRITICA,07245910877,IT,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),7-FORNITORI_RILEVANTI,2,C-TDS-2023-002,Trinacria Fibra S.r.l.,Oggetto: servizio TDS-SRV-MSP; fornitura: Connettività e servizi di telecomunicazione; criterio: TIC; CPV: 64200000-8; clausole sicurezza: sì; DPA: no,CRITICA,05619380875,IT,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),7-FORNITORI_RILEVANTI,3,C-TDS-2024-005,CloudDesk Europe Ltd,Oggetto: asset TDS-TKT-01; fornitura: Applicazione in modalità SaaS; criterio: TIC; CPV: 48000000-8; clausole sicurezza: sì; DPA: sì; dati trattati in: IE,ALTA,IE8K47213X,IE,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),7-FORNITORI_RILEVANTI,4,C-TDS-2022-004,Elymsol Energia S.p.A.,Oggetto: servizio TDS-SRV-SOC; fornitura: Fornitura di energia elettrica; criterio: NON_FUNGIBILE; CPV: 09310000-5; clausole sicurezza: no; DPA: no,ALTA,06182430824,IT,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),8-CATEGORIZZAZIONE,1,TDS-SRV-MSP,Servizi gestiti di infrastruttura IT (MSP),Macro-area: Produzione di beni e servizi; categoria pre-assegnata: Impatto medio; perimetro NIS: sì; scostamento motivato: BIA 2026: il servizio gestito è erogato a soggetti NIS essenziali; un fermo si propaga ai clienti.,Impatto alto,,,,2026-09-19
3,03591720838,TecPot Digital Services S.r.l.,Soggetto importante,Gestione dei servizi TIC (business-to-business),Gestione dei servizi TIC B2B (senza sottosettori),8-CATEGORIZZAZIONE,2,TDS-SRV-SOC,SOC gestito H24 (servizi di sicurezza gestiti),Macro-area: Produzione di beni e servizi; categoria pre-assegnata: Impatto medio; perimetro NIS: sì; scostamento motivato: BIA 2026: il SOC rileva gli incidenti dei clienti; un fermo ne ritarda la notifica.,Impatto alto,,,,2026-09-19
